graph_name,graph_file,source_config,phase,event,stage,candidate_label,candidate_mode,epoch,global_step,operation_index,iteration,accepted,training_end,soft_seq_makespan,threshold_lssp_static,threshold_lssp_learned_swprio,postprocess_lssp_cost,delta_from_prev,threshold_partition_valid,threshold_hw_nodes,threshold_hw_area,threshold_budget,tau,order_tau,loss,area_frac,area_penalty,selection_metric_train,selection_metric_final,notes
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,train,epoch,train,thresholded_partition,threshold,1,1.0,0,1,False,False,68.9085922241211,44.0,44.0,nan,nan,True,4,14.0,22.0,0.991,0.992,276233.21875,0.48605161905288696,nan,queue,queue,per_epoch_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,train,epoch,train,thresholded_partition,threshold,100,100.0,0,100,False,True,83.18549346923828,56.0,62.0,nan,nan,True,4,17.0,22.0,0.1,0.2,244783.875,0.4872910976409912,nan,queue,queue,training_end
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,postprocess,decode_selected,decode,placement,decode,100,100.25,0,0,False,False,nan,65.0,65.0,nan,nan,True,6,21.0,22.0,nan,nan,nan,nan,nan,queue,queue,decode_before_postprocess
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,postprocess,start,decode,placement,static,100,101.25,1,0,False,False,nan,nan,nan,65.0,nan,True,6,21.0,22.0,nan,nan,nan,nan,nan,queue,queue,postprocess_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,postprocess,accepted,stage2,placement,static,100,102.25,2,1,True,False,nan,nan,nan,45.0,-20.0,True,6,22.0,22.0,nan,nan,nan,nan,nan,queue,queue,postprocess_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,postprocess,accepted,stage2,placement,static,100,103.25,3,2,True,False,nan,nan,nan,34.0,-11.0,True,6,20.0,22.0,nan,nan,nan,nan,nan,queue,queue,postprocess_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,postprocess,accepted,stage2,placement,static,100,104.25,4,3,True,False,nan,nan,nan,32.0,-2.0,True,6,21.0,22.0,nan,nan,nan,nan,nan,queue,queue,postprocess_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,postprocess,accepted,stage2,placement,static,100,105.25,5,4,True,False,nan,nan,nan,31.0,-1.0,True,6,22.0,22.0,nan,nan,nan,nan,nan,queue,queue,postprocess_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,postprocess,done,done,placement,static,100,106.25,6,6,False,False,nan,nan,nan,31.0,nan,True,6,22.0,22.0,nan,nan,nan,nan,nan,queue,queue,postprocess_trace
paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/AblationComponents/run-20260413-081536/paper_fig3_11node/diff_gnn_order/configs/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.diff_gnn_order.yaml,final,selected_final,final,placement,final,100,107.25,7,0,False,False,nan,31.0,nan,31.0,nan,True,6,22.0,22.0,nan,nan,nan,nan,nan,queue,queue,selected_final_solution
