graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,mean_over_dag,validity_note_summary
anomaly_detection_tosa,tflite-graphs,68,0.5,greedy,3335.917412823374,3406.6907061368247,2249.994982076263,4018.625503272376,2757.8184926684694,3845.9782866225737,2405.3047468279005,10,0,0,1.386900107864818,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,mip,3483.776915050394,3483.776915050394,3483.776915050394,3483.776915050394,3483.776915050394,3483.776915050394,2497.2680142870518,1,0,1,1.3950352525717917,Invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint.
image_classification_tosa,tflite-graphs,125,0.5,greedy,7558.284450793921,7442.691925586165,6459.858130108229,8632.785196938186,6613.127050087083,8527.14531756617,4747.274871640109,10,0,0,1.5921312026709444,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,greedy,7209.400282558798,7172.527961330346,6408.474346070463,8289.32467492854,6665.17970176745,7752.800343784202,4650.530967958221,10,0,0,1.5502316471454503,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,mip,8960.25578326996,8960.25578326996,8960.25578326996,8960.25578326996,8960.25578326996,8960.25578326996,4521.964761851205,1,0,1,1.981496153809435,Invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint.
mobile_net_tosa,pytorch-graphs,830,0.5,greedy,53250.6274086631,53389.36941852198,48681.82279839933,58786.90161522156,49841.480874366,55617.06924041508,31608.248588052742,10,0,0,1.6847066758640568,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,random,50263.521544332914,49737.81575488506,41135.44625557222,60443.00841198932,41683.75900683836,59263.848713385756,41528.72329887253,4,0,0,1.2103314899087574,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,diff_gnn_order,29.0,29.0,29.0,29.0,29.0,29.0,31.0,1,0,0,0.9354838709677419,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,greedy,32.0,32.0,32.0,32.0,32.0,32.0,32.0,10,0,0,1.0,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,greedy,21803.940225274677,21687.064922943428,19880.599701807,23525.1366496158,20177.603135001616,23466.3209443098,10951.138294760856,10,0,0,1.9910204435739725,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,greedy,11534.323590918793,11339.718278351556,10327.712265027534,13006.392279007683,10577.043473759324,12986.3621697862,6525.830145143948,10,0,0,1.767487558575487,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,greedy,12367.917748486598,12564.663192738519,10905.693946964711,13897.520014588292,10947.059891327546,13795.173959723104,8368.2147391794,10,0,0,1.477963715555824,Valid solution; no area repair needed.
