suite,profile,config_stem,config_path,graph_name,graph_file,family,nodes,edges,area_constraint,hw_scale_factor,hw_scale_variance,comm_scale_factor,seed,taskgraph_pickle,param_source,param_source_csv
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,default,
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,44,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.pkl,default,
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-45,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-45.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,45,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-45.pkl,default,
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-46,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-46.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,46,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-46.pkl,default,
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-47,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-47.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,47,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-47.pkl,default,
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-48,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-48.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,48,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-48.pkl,default,
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-49,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-49.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,49,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-49.pkl,default,
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-50,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-50.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,50,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-50.pkl,default,
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-51,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-51.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,51,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-51.pkl,default,
task_graph_topology_suite_area05,full,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43,BatchExperiments/dataset_area05_configs/full/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,43,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.pkl,default,
