method,runtime_sec,reported_makespan,dag_makespan,lssp_makespan,best_makespan
mip,6.0,29.0,29.0,29.0,29.0
diff_gnn,49.90717267990112,32.0,32.0,32.0,32.0
diff_gnn_order,28.36294770240784,31.0,31.0,31.0,29.0
gcps,0.2971963882446289,29.0,29.0,29.0,29.0
pso,0.3047316074371338,29.0,29.0,29.0,29.0
dbpso,0.3367111682891845,30.0,30.0,30.0,30.0
clpso,0.0167262554168701,29.0,29.0,29.0,29.0
ccpso,0.0193119049072265,32.0,32.0,32.0,32.0
esa,0.1296627521514892,29.0,29.0,29.0,29.0
shade,0.503225564956665,29.0,29.0,29.0,29.0
jade,0.4726827144622803,29.0,29.0,29.0,29.0
gl25,0.4093513488769531,29.0,29.0,29.0,29.0
random,0.0602643489837646,30.0,30.0,30.0,30.0
greedy,0.0017609596252441,32.0,32.0,32.0,32.0
