suite,profile,config_stem,config_path,graph_name,graph_file,family,nodes,edges,area_constraint,hw_scale_factor,hw_scale_variance,comm_scale_factor,seed,taskgraph_pickle,param_source,param_source_csv
task_graph_topology_suite_area05,full,squeezenet_like_10_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,BatchExperiments/large_scale_area05_configs/full/graph_suite_area05/squeezenet_like_10/squeezenet_like_10_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,squeezenet_like_10,inputs/task_graph_topology/synthetic/squeezenet_like_10.dot,synthetic,10,13,0.5,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-squeezenet_like_10_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,squeezenet_like_10_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43,BatchExperiments/large_scale_area05_configs/full/graph_suite_area05/squeezenet_like_10/squeezenet_like_10_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.yaml,squeezenet_like_10,inputs/task_graph_topology/synthetic/squeezenet_like_10.dot,synthetic,10,13,0.5,0.1,0.5,1.0,43,inputs/task_graph_complete/taskgraph-squeezenet_like_10_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,squeezenet_like_15_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,BatchExperiments/large_scale_area05_configs/full/graph_suite_area05/squeezenet_like_15/squeezenet_like_15_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,squeezenet_like_15,inputs/task_graph_topology/synthetic/squeezenet_like_15.dot,synthetic,15,20,0.5,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-squeezenet_like_15_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,squeezenet_like_15_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43,BatchExperiments/large_scale_area05_configs/full/graph_suite_area05/squeezenet_like_15/squeezenet_like_15_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.yaml,squeezenet_like_15,inputs/task_graph_topology/synthetic/squeezenet_like_15.dot,synthetic,15,20,0.5,0.1,0.5,1.0,43,inputs/task_graph_complete/taskgraph-squeezenet_like_15_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,squeezenet_like_12_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,BatchExperiments/large_scale_area05/config_cache/full/graph_suite_area05/squeezenet_like_12/squeezenet_like_12_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,squeezenet_like_12,inputs/task_graph_topology/synthetic/squeezenet_like_12.dot,synthetic,12,16,0.5,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-squeezenet_like_12_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,BatchExperiments/large_scale_area05/config_cache/full/graph_suite_area05/squeezenet_like_1000/squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,squeezenet_like_1000,inputs/task_graph_topology/synthetic/squeezenet_like_1000.dot,synthetic,1000,1307,0.5,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43,BatchExperiments/large_scale_area05/config_cache/full/graph_suite_area05/squeezenet_like_1000/squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.yaml,squeezenet_like_1000,inputs/task_graph_topology/synthetic/squeezenet_like_1000.dot,synthetic,1000,1307,0.5,0.1,0.5,1.0,43,inputs/task_graph_complete/taskgraph-squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44,BatchExperiments/large_scale_area05/config_cache/full/graph_suite_area05/squeezenet_like_1000/squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.yaml,squeezenet_like_1000,inputs/task_graph_topology/synthetic/squeezenet_like_1000.dot,synthetic,1000,1307,0.5,0.1,0.5,1.0,44,inputs/task_graph_complete/taskgraph-squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-45,BatchExperiments/large_scale_area05/config_cache/full/graph_suite_area05/squeezenet_like_1000/squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-45.yaml,squeezenet_like_1000,inputs/task_graph_topology/synthetic/squeezenet_like_1000.dot,synthetic,1000,1307,0.5,0.1,0.5,1.0,45,inputs/task_graph_complete/taskgraph-squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-45.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-46,BatchExperiments/large_scale_area05/config_cache/full/graph_suite_area05/squeezenet_like_1000/squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-46.yaml,squeezenet_like_1000,inputs/task_graph_topology/synthetic/squeezenet_like_1000.dot,synthetic,1000,1307,0.5,0.1,0.5,1.0,46,inputs/task_graph_complete/taskgraph-squeezenet_like_1000_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-46.pkl,squeeze_fallback,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
