graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
paper_fig3_11node,custom,11,0.5,ccpso,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,clpso,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,dbpso,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,diff_gnn_order,29.0,29.0,29.0,29.0,29.0,29.0,31.0,10,0,0,0,0,0.9354838709677419,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,esa,30.0,30.0,30.0,30.0,30.0,30.0,31.0,1,0,0,0,0,0.967741935483871,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,gcps,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,gl25,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,greedy,32.0,32.0,32.0,32.0,32.0,32.0,32.0,10,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,jade,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,pso,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,random,30.4,30.0,29.0,32.0,29.0,32.0,30.7,10,0,0,0,0,0.990228013029316,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,shade,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
