,hw,area,graph,method,mean_makespan,std_makespan
0,0.1,0.1,resnet,ccpso,18418.485044850837,224.13603035577083
1,0.1,0.1,resnet,clpso,18418.485044850837,224.13603035577083
2,0.1,0.1,resnet,esa,18418.485044850837,224.13603035577083
3,0.1,0.1,resnet,gl25,18418.485044850837,224.13603035577083
4,0.1,0.1,resnet,greedy,20832.51132821506,1009.4628378484475
5,0.1,0.1,resnet,jade,18418.485044850837,224.13603035577083
6,0.1,0.1,resnet,random,18418.485044850837,224.13603035577083
7,0.1,0.1,resnet,shade,18418.485044850837,224.13603035577083
8,0.1,0.1,squeezenet,ccpso,9098.235152160398,306.4950657866547
9,0.1,0.1,squeezenet,clpso,9098.235152160398,306.4950657866547
10,0.1,0.1,squeezenet,esa,9098.235152160398,306.4950657866547
11,0.1,0.1,squeezenet,gl25,9098.235152160398,306.4950657866547
12,0.1,0.1,squeezenet,greedy,10088.158821304603,854.2552636894962
13,0.1,0.1,squeezenet,jade,9098.235152160398,306.4950657866547
14,0.1,0.1,squeezenet,random,9098.235152160398,306.4950657866547
15,0.1,0.1,squeezenet,shade,9098.235152160398,306.4950657866547
16,0.1,0.3,resnet,ccpso,18418.485044850837,224.13603035577083
17,0.1,0.3,resnet,clpso,18418.485044850837,224.13603035577083
18,0.1,0.3,resnet,esa,18418.485044850837,224.13603035577083
19,0.1,0.3,resnet,gl25,18418.485044850837,224.13603035577083
20,0.1,0.3,resnet,greedy,22381.24995156423,604.6586176633923
21,0.1,0.3,resnet,jade,18418.485044850837,224.13603035577083
22,0.1,0.3,resnet,random,18418.485044850837,224.13603035577083
23,0.1,0.3,resnet,shade,18418.485044850837,224.13603035577083
24,0.1,0.3,squeezenet,ccpso,9098.235152160398,306.4950657866547
25,0.1,0.3,squeezenet,clpso,9098.235152160398,306.4950657866547
26,0.1,0.3,squeezenet,esa,9098.235152160398,306.4950657866547
27,0.1,0.3,squeezenet,gl25,9098.235152160398,306.4950657866547
28,0.1,0.3,squeezenet,greedy,12514.466733221818,415.43169971371424
29,0.1,0.3,squeezenet,jade,9098.235152160398,306.4950657866547
30,0.1,0.3,squeezenet,random,9098.235152160398,306.4950657866547
31,0.1,0.3,squeezenet,shade,9098.235152160398,306.4950657866547
32,0.1,0.5,resnet,ccpso,18418.485044850837,224.13603035577083
33,0.1,0.5,resnet,clpso,18418.485044850837,224.13603035577083
34,0.1,0.5,resnet,esa,18418.485044850837,224.13603035577083
35,0.1,0.5,resnet,gl25,15501.167499992272,1614.899800328721
36,0.1,0.5,resnet,greedy,25068.620806102164,1476.5068628438496
37,0.1,0.5,resnet,jade,18418.485044850837,224.13603035577083
38,0.1,0.5,resnet,random,18418.485044850837,224.13603035577083
39,0.1,0.5,resnet,shade,18418.485044850837,224.13603035577083
40,0.1,0.5,squeezenet,ccpso,9098.235152160398,306.4950657866547
41,0.1,0.5,squeezenet,clpso,9098.235152160398,306.4950657866547
42,0.1,0.5,squeezenet,esa,8058.225506369692,1128.058203916802
43,0.1,0.5,squeezenet,gl25,7915.376003425992,842.8959678627136
44,0.1,0.5,squeezenet,greedy,12718.371178698791,507.0357821140265
45,0.1,0.5,squeezenet,jade,9098.235152160398,306.4950657866547
46,0.1,0.5,squeezenet,random,9098.235152160398,306.4950657866547
47,0.1,0.5,squeezenet,shade,9098.235152160398,306.4950657866547
48,0.1,0.7,resnet,ccpso,18418.485044850837,224.13603035577083
49,0.1,0.7,resnet,clpso,18418.485044850837,224.13603035577083
50,0.1,0.7,resnet,esa,18418.485044850837,224.13603035577083
51,0.1,0.7,resnet,gl25,11050.064278903144,1011.6341273542799
52,0.1,0.7,resnet,greedy,19537.066928546377,2189.7870895570773
53,0.1,0.7,resnet,jade,18418.485044850837,224.13603035577083
54,0.1,0.7,resnet,random,18418.485044850837,224.13603035577083
55,0.1,0.7,resnet,shade,18418.485044850837,224.13603035577083
56,0.1,0.7,squeezenet,ccpso,9098.235152160398,306.4950657866547
57,0.1,0.7,squeezenet,clpso,9098.235152160398,306.4950657866547
58,0.1,0.7,squeezenet,esa,9098.235152160398,306.4950657866547
59,0.1,0.7,squeezenet,gl25,6022.987063451848,1181.4489898037505
60,0.1,0.7,squeezenet,greedy,11303.661549419734,693.0914593059796
61,0.1,0.7,squeezenet,jade,8681.885994840417,536.7122060124212
62,0.1,0.7,squeezenet,random,9098.235152160398,306.4950657866547
63,0.1,0.7,squeezenet,shade,8877.545543568167,268.0377261927841
64,0.1,0.9,resnet,ccpso,18418.485044850837,224.13603035577083
65,0.1,0.9,resnet,clpso,18418.485044850837,224.13603035577083
66,0.1,0.9,resnet,esa,18418.485044850837,224.13603035577083
67,0.1,0.9,resnet,gl25,9124.632639207335,596.8558468310056
68,0.1,0.9,resnet,greedy,8890.708101903525,1055.2252497738293
69,0.1,0.9,resnet,jade,18418.485044850837,224.13603035577083
70,0.1,0.9,resnet,random,18418.485044850837,224.13603035577083
71,0.1,0.9,resnet,shade,18418.485044850837,224.13603035577083
72,0.1,0.9,squeezenet,ccpso,9098.235152160398,306.4950657866547
73,0.1,0.9,squeezenet,clpso,9098.235152160398,306.4950657866547
74,0.1,0.9,squeezenet,esa,9098.235152160398,306.4950657866547
75,0.1,0.9,squeezenet,gl25,2455.701396866757,400.95263800383054
76,0.1,0.9,squeezenet,greedy,6085.414858921129,659.5160690207186
77,0.1,0.9,squeezenet,jade,7402.080561244029,146.55483677325486
78,0.1,0.9,squeezenet,random,9098.235152160398,306.4950657866547
79,0.1,0.9,squeezenet,shade,8720.35446396478,386.2901545163048
80,0.3,0.1,resnet,ccpso,18418.485044850837,224.13603035577083
81,0.3,0.1,resnet,clpso,18418.485044850837,224.13603035577083
82,0.3,0.1,resnet,esa,18418.485044850837,224.13603035577083
83,0.3,0.1,resnet,gl25,18418.485044850837,224.13603035577083
84,0.3,0.1,resnet,greedy,20486.47542830022,1494.3104914003795
85,0.3,0.1,resnet,jade,18418.485044850837,224.13603035577083
86,0.3,0.1,resnet,random,18418.485044850837,224.13603035577083
87,0.3,0.1,resnet,shade,18418.485044850837,224.13603035577083
88,0.3,0.1,squeezenet,ccpso,9098.235152160398,306.4950657866547
89,0.3,0.1,squeezenet,clpso,9098.235152160398,306.4950657866547
90,0.3,0.1,squeezenet,esa,9098.235152160398,306.4950657866547
91,0.3,0.1,squeezenet,gl25,9098.235152160398,306.4950657866547
92,0.3,0.1,squeezenet,greedy,9931.26020871789,768.1956648309709
93,0.3,0.1,squeezenet,jade,9098.235152160398,306.4950657866547
94,0.3,0.1,squeezenet,random,9098.235152160398,306.4950657866547
95,0.3,0.1,squeezenet,shade,9098.235152160398,306.4950657866547
96,0.3,0.3,resnet,ccpso,18418.485044850837,224.13603035577083
97,0.3,0.3,resnet,clpso,18418.485044850837,224.13603035577083
98,0.3,0.3,resnet,esa,18418.485044850837,224.13603035577083
99,0.3,0.3,resnet,gl25,18418.485044850837,224.13603035577083
100,0.3,0.3,resnet,greedy,23428.654494505474,746.8736583817775
101,0.3,0.3,resnet,jade,18418.485044850837,224.13603035577083
102,0.3,0.3,resnet,random,18418.485044850837,224.13603035577083
103,0.3,0.3,resnet,shade,18418.485044850837,224.13603035577083
104,0.3,0.3,squeezenet,ccpso,9098.235152160398,306.4950657866547
105,0.3,0.3,squeezenet,clpso,9098.235152160398,306.4950657866547
106,0.3,0.3,squeezenet,esa,9098.235152160398,306.4950657866547
107,0.3,0.3,squeezenet,gl25,9098.235152160398,306.4950657866547
108,0.3,0.3,squeezenet,greedy,13127.779289330647,611.0874375581315
109,0.3,0.3,squeezenet,jade,9098.235152160398,306.4950657866547
110,0.3,0.3,squeezenet,random,9098.235152160398,306.4950657866547
111,0.3,0.3,squeezenet,shade,9098.235152160398,306.4950657866547
112,0.3,0.5,resnet,ccpso,18418.485044850837,224.13603035577083
113,0.3,0.5,resnet,clpso,18418.485044850837,224.13603035577083
114,0.3,0.5,resnet,esa,18418.485044850837,224.13603035577083
115,0.3,0.5,resnet,gl25,17645.849652227025,1232.9401795766796
116,0.3,0.5,resnet,greedy,24739.814238335104,1209.897920719049
117,0.3,0.5,resnet,jade,18418.485044850837,224.13603035577083
118,0.3,0.5,resnet,random,18418.485044850837,224.13603035577083
119,0.3,0.5,resnet,shade,18418.485044850837,224.13603035577083
120,0.3,0.5,squeezenet,ccpso,9098.235152160398,306.4950657866547
121,0.3,0.5,squeezenet,clpso,9098.235152160398,306.4950657866547
122,0.3,0.5,squeezenet,esa,8029.779038920489,1122.4984966959555
123,0.3,0.5,squeezenet,gl25,8062.401154683812,1127.729904896789
124,0.3,0.5,squeezenet,greedy,13043.275517297592,437.67974778679087
125,0.3,0.5,squeezenet,jade,9098.235152160398,306.4950657866547
126,0.3,0.5,squeezenet,random,9098.235152160398,306.4950657866547
127,0.3,0.5,squeezenet,shade,9098.235152160398,306.4950657866547
128,0.3,0.7,resnet,ccpso,18418.485044850837,224.13603035577083
129,0.3,0.7,resnet,clpso,18418.485044850837,224.13603035577083
130,0.3,0.7,resnet,esa,18418.485044850837,224.13603035577083
131,0.3,0.7,resnet,gl25,11247.371082440091,1162.7492458978297
132,0.3,0.7,resnet,greedy,19210.871451018145,2471.170174785927
133,0.3,0.7,resnet,jade,18418.485044850837,224.13603035577083
134,0.3,0.7,resnet,random,18418.485044850837,224.13603035577083
135,0.3,0.7,resnet,shade,18418.485044850837,224.13603035577083
136,0.3,0.7,squeezenet,ccpso,9098.235152160398,306.4950657866547
137,0.3,0.7,squeezenet,clpso,9098.235152160398,306.4950657866547
138,0.3,0.7,squeezenet,esa,9098.235152160398,306.4950657866547
139,0.3,0.7,squeezenet,gl25,6028.174206641611,1217.1709008239725
140,0.3,0.7,squeezenet,greedy,11000.816172637804,942.7846549145798
141,0.3,0.7,squeezenet,jade,8381.956110213041,356.2706160757264
142,0.3,0.7,squeezenet,random,9098.235152160398,306.4950657866547
143,0.3,0.7,squeezenet,shade,9042.575760768985,227.210898697425
144,0.3,0.9,resnet,ccpso,18418.485044850837,224.13603035577083
145,0.3,0.9,resnet,clpso,18418.485044850837,224.13603035577083
