seed,hw,area,graph,method,makespan
0,0.1,0.1,resnet,ccpso,18629.163527484412
0,0.1,0.1,resnet,clpso,18629.163527484412
0,0.1,0.1,resnet,esa,18629.163527484412
0,0.1,0.1,resnet,gl25,18629.163527484412
0,0.1,0.1,resnet,greedy,22106.53446496302
0,0.1,0.1,resnet,jade,18629.163527484412
0,0.1,0.1,resnet,random,18629.163527484412
0,0.1,0.1,resnet,shade,18629.163527484412
0,0.1,0.1,squeezenet,ccpso,9466.81381582347
0,0.1,0.1,squeezenet,clpso,9466.81381582347
0,0.1,0.1,squeezenet,esa,9466.81381582347
0,0.1,0.1,squeezenet,gl25,9466.81381582347
0,0.1,0.1,squeezenet,greedy,11262.622319630947
0,0.1,0.1,squeezenet,jade,9466.81381582347
0,0.1,0.1,squeezenet,random,9466.81381582347
0,0.1,0.1,squeezenet,shade,9466.81381582347
0,0.1,0.3,resnet,ccpso,18629.163527484412
0,0.1,0.3,resnet,clpso,18629.163527484412
0,0.1,0.3,resnet,esa,18629.163527484412
0,0.1,0.3,resnet,gl25,18629.163527484412
0,0.1,0.3,resnet,greedy,22838.05836191478
0,0.1,0.3,resnet,jade,18629.163527484412
0,0.1,0.3,resnet,random,18629.163527484412
0,0.1,0.3,resnet,shade,18629.163527484412
0,0.1,0.3,squeezenet,ccpso,9466.81381582347
0,0.1,0.3,squeezenet,clpso,9466.81381582347
0,0.1,0.3,squeezenet,esa,9466.81381582347
0,0.1,0.3,squeezenet,gl25,9466.81381582347
0,0.1,0.3,squeezenet,greedy,13025.65737354698
0,0.1,0.3,squeezenet,jade,9466.81381582347
0,0.1,0.3,squeezenet,random,9466.81381582347
0,0.1,0.3,squeezenet,shade,9466.81381582347
0,0.1,0.5,resnet,ccpso,18629.163527484412
0,0.1,0.5,resnet,clpso,18629.163527484412
0,0.1,0.5,resnet,esa,18629.163527484412
0,0.1,0.5,resnet,gl25,13106.636390695858
0,0.1,0.5,resnet,greedy,22971.171762902133
0,0.1,0.5,resnet,jade,18629.163527484412
0,0.1,0.5,resnet,random,18629.163527484412
0,0.1,0.5,resnet,shade,18629.163527484412
0,0.1,0.5,squeezenet,ccpso,9466.81381582347
0,0.1,0.5,squeezenet,clpso,9466.81381582347
0,0.1,0.5,squeezenet,esa,6397.015231806886
0,0.1,0.5,squeezenet,gl25,6764.276952684704
0,0.1,0.5,squeezenet,greedy,12016.517060224802
0,0.1,0.5,squeezenet,jade,9466.81381582347
0,0.1,0.5,squeezenet,random,9466.81381582347
0,0.1,0.5,squeezenet,shade,9466.81381582347
0,0.1,0.7,resnet,ccpso,18629.163527484412
0,0.1,0.7,resnet,clpso,18629.163527484412
0,0.1,0.7,resnet,esa,18629.163527484412
0,0.1,0.7,resnet,gl25,9850.267132902616
0,0.1,0.7,resnet,greedy,16510.272320777425
0,0.1,0.7,resnet,jade,18629.163527484412
0,0.1,0.7,resnet,random,18629.163527484412
0,0.1,0.7,resnet,shade,18629.163527484412
0,0.1,0.7,squeezenet,ccpso,9466.81381582347
0,0.1,0.7,squeezenet,clpso,9466.81381582347
0,0.1,0.7,squeezenet,esa,9466.81381582347
0,0.1,0.7,squeezenet,gl25,4344.9609513797595
0,0.1,0.7,squeezenet,greedy,10342.029793099178
0,0.1,0.7,squeezenet,jade,7894.377549620568
0,0.1,0.7,squeezenet,random,9466.81381582347
0,0.1,0.7,squeezenet,shade,8584.05538145455
0,0.1,0.9,resnet,ccpso,18629.163527484412
0,0.1,0.9,resnet,clpso,18629.163527484412
0,0.1,0.9,resnet,esa,18629.163527484412
0,0.1,0.9,resnet,gl25,8335.956839277638
0,0.1,0.9,resnet,greedy,7371.889714779525
0,0.1,0.9,resnet,jade,18629.163527484412
0,0.1,0.9,resnet,random,18629.163527484412
0,0.1,0.9,resnet,shade,18629.163527484412
0,0.1,0.9,squeezenet,ccpso,9466.81381582347
0,0.1,0.9,squeezenet,clpso,9466.81381582347
0,0.1,0.9,squeezenet,esa,9466.81381582347
0,0.1,0.9,squeezenet,gl25,1939.8731496858368
0,0.1,0.9,squeezenet,greedy,5292.313704173988
0,0.1,0.9,squeezenet,jade,7293.962674730634
0,0.1,0.9,squeezenet,random,9466.81381582347
0,0.1,0.9,squeezenet,shade,8284.696316896207
0,0.3,0.1,resnet,ccpso,18629.163527484412
0,0.3,0.1,resnet,clpso,18629.163527484412
0,0.3,0.1,resnet,esa,18629.163527484412
0,0.3,0.1,resnet,gl25,18629.163527484412
0,0.3,0.1,resnet,greedy,22595.49243278739
0,0.3,0.1,resnet,jade,18629.163527484412
0,0.3,0.1,resnet,random,18629.163527484412
0,0.3,0.1,resnet,shade,18629.163527484412
0,0.3,0.1,squeezenet,ccpso,9466.81381582347
0,0.3,0.1,squeezenet,clpso,9466.81381582347
0,0.3,0.1,squeezenet,esa,9466.81381582347
0,0.3,0.1,squeezenet,gl25,9466.81381582347
0,0.3,0.1,squeezenet,greedy,11077.273945410865
0,0.3,0.1,squeezenet,jade,9466.81381582347
0,0.3,0.1,squeezenet,random,9466.81381582347
0,0.3,0.1,squeezenet,shade,9466.81381582347
0,0.3,0.3,resnet,ccpso,18629.163527484412
0,0.3,0.3,resnet,clpso,18629.163527484412
0,0.3,0.3,resnet,esa,18629.163527484412
0,0.3,0.3,resnet,gl25,18629.163527484412
0,0.3,0.3,resnet,greedy,23207.88620896228
0,0.3,0.3,resnet,jade,18629.163527484412
0,0.3,0.3,resnet,random,18629.163527484412
0,0.3,0.3,resnet,shade,18629.163527484412
0,0.3,0.3,squeezenet,ccpso,9466.81381582347
0,0.3,0.3,squeezenet,clpso,9466.81381582347
0,0.3,0.3,squeezenet,esa,9466.81381582347
0,0.3,0.3,squeezenet,gl25,9466.81381582347
0,0.3,0.3,squeezenet,greedy,13959.615979754995
0,0.3,0.3,squeezenet,jade,9466.81381582347
0,0.3,0.3,squeezenet,random,9466.81381582347
0,0.3,0.3,squeezenet,shade,9466.81381582347
