suite,profile,config_stem,config_path,graph_name,graph_file,family,nodes,edges,area_constraint,hw_scale_factor,hw_scale_variance,comm_scale_factor,seed,taskgraph_pickle,param_source,param_source_csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,42,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-43,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-43.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,43,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-43.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-44,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-44.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,44,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-44.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-45,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-45.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,45,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-45.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-46,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-46.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,46,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-46.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-47,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-47.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,47,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-47.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-48,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-48.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,48,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-48.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-49,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-49.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,49,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-49.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-50,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-50.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,50,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-50.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,full,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-51,inputs/task_graph_topology_config/full/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-51.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,51,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-51.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
