suite,profile,config_stem,config_path,graph_name,graph_file,family,nodes,edges,area_constraint,hw_scale_factor,hw_scale_variance,comm_scale_factor,seed,taskgraph_pickle,param_source,param_source_csv
task_graph_topology_suite_area05,pilot,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42,inputs/task_graph_topology_config/pilot/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,42,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-42.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,pilot,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-43,inputs/task_graph_topology_config/pilot/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-43.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,43,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-43.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,pilot,paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-44,inputs/task_graph_topology_config/pilot/graph_suite_area05/paper_fig3_11node/paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-44.yaml,paper_fig3_11node,inputs/task_graph_topology/custom/paper_fig3_11node.dot,custom,11,12,0.5,1.0,0.1,1.0,44,inputs/task_graph_complete/taskgraph-paper_fig3_11node_area-0.50_hwscale-1.00_hwvar-0.10_comm-1.00_seed-44.pkl,graph_best,outputs/all_methods_fig3_small/fig3_all_methods_small-result-summary-soda-graphs-config.csv
task_graph_topology_suite_area05,pilot,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,inputs/task_graph_topology_config/pilot/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,default,
task_graph_topology_suite_area05,pilot,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43,inputs/task_graph_topology_config/pilot/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,43,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.pkl,default,
task_graph_topology_suite_area05,pilot,mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44,inputs/task_graph_topology_config/pilot/graph_suite_area05/mobile_net_tosa/mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.yaml,mobile_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/mobile_net_tosa.dot,pytorch-graphs,830,1066,0.5,0.1,0.5,1.0,44,inputs/task_graph_complete/taskgraph-mobile_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.pkl,default,
task_graph_topology_suite_area05,pilot,rez_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,inputs/task_graph_topology_config/pilot/graph_suite_area05/rez_net_tosa/rez_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,rez_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/rez_net_tosa.dot,pytorch-graphs,362,457,0.5,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-rez_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,default,
task_graph_topology_suite_area05,pilot,rez_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43,inputs/task_graph_topology_config/pilot/graph_suite_area05/rez_net_tosa/rez_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.yaml,rez_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/rez_net_tosa.dot,pytorch-graphs,362,457,0.5,0.1,0.5,1.0,43,inputs/task_graph_complete/taskgraph-rez_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.pkl,default,
task_graph_topology_suite_area05,pilot,rez_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44,inputs/task_graph_topology_config/pilot/graph_suite_area05/rez_net_tosa/rez_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.yaml,rez_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/rez_net_tosa.dot,pytorch-graphs,362,457,0.5,0.1,0.5,1.0,44,inputs/task_graph_complete/taskgraph-rez_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.pkl,default,
task_graph_topology_suite_area05,pilot,squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,inputs/task_graph_topology_config/pilot/graph_suite_area05/squeeze_net_tosa/squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.5,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
