suite,profile,config_stem,config_path,graph_name,graph_file,family,nodes,edges,area_constraint,hw_scale_factor,hw_scale_variance,comm_scale_factor,seed,taskgraph_pickle,param_source,param_source_csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.10_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.10_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.1,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.10_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.10_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.10_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.1,0.1,0.5,1.0,43,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.10_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.10_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.10_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.1,0.1,0.5,1.0,44,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.10_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.30_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.30_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.3,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.30_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.30_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.30_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.3,0.1,0.5,1.0,43,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.30_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.30_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.30_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.3,0.1,0.5,1.0,44,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.30_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.5,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.5,0.1,0.5,1.0,43,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-43.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.5,0.1,0.5,1.0,44,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.50_hwscale-0.10_hwvar-0.50_comm-1.00_seed-44.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
squeezenet_area_sweep,pilot,squeeze_net_tosa_area-0.70_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42,inputs/task_graph_topology_config/pilot/squeeze_net_tosa_area_sweep/squeeze_net_tosa/squeeze_net_tosa_area-0.70_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.yaml,squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,pytorch-graphs,179,234,0.7,0.1,0.5,1.0,42,inputs/task_graph_complete/taskgraph-squeeze_net_tosa_area-0.70_hwscale-0.10_hwvar-0.50_comm-1.00_seed-42.pkl,graph_best,outputs/iccad_pilot_squeeze/iccad_pilot_squeeze-result-summary-soda-graphs-config.csv
