Config,GraphName,N,HW_Scale_Factor,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,Seed,milp,diff_gnn_with_order,diff_gnn_without_order,random_org,greedy_org,pso_org,dbpso_org,clpso_org,ccpso_org,esa_org,shade_org,jade_org,gl25_org,best_method
config_mkspan_area_0.1_hw_0.1_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.1,0,4221.305106155454,9047.814617665212,8990.744493092796,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,milp
config_mkspan_area_0.1_hw_0.1_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.1,1,4172.721469818643,8737.626042122241,8275.84499839865,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,milp
config_mkspan_area_0.1_hw_0.1_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.1,2,4269.658637267942,8006.641241245611,7833.283107473885,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,milp
config_mkspan_area_0.1_hw_0.1_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.1,3,4242.071814719901,9012.413435071318,8586.672222729467,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,milp
config_mkspan_area_0.1_hw_0.3_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.1,0,4484.561483588215,9003.025528329003,9032.325127262891,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,milp
config_mkspan_area_0.1_hw_0.3_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.1,1,4413.573641641579,8376.113224897204,8449.18058543314,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,milp
config_mkspan_area_0.1_hw_0.3_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.1,2,4300.415738131131,8148.419582601141,7884.203740355234,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,milp
config_mkspan_area_0.1_hw_0.3_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.1,3,4510.783769461843,8986.552329531154,8653.45423064427,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,milp
config_mkspan_area_0.1_hw_0.5_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.1,0,4585.171800503198,8939.069412309005,9032.325127262891,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,milp
config_mkspan_area_0.1_hw_0.5_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.1,1,4683.729505420622,8536.80522259885,8159.080028525733,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,milp
