Config,mip,diff_gnn_with_order,diff_gnn_without_order,gl25_org,gcps_org
config_mkspan_area_0.1_hw_0.3_seed_1,4413.573641641579,7251.252783808956,7251.252783808956,8769.553212251987,8769.553212251987
config_mkspan_area_0.3_hw_0.1_seed_1,2578.9709729139763,5871.094651929228,6051.814777539301,8769.553212251987,8635.708215357572
config_mkspan_area_0.3_hw_0.9_seed_2,4506.613249919866,5333.949767512181,6274.2456365052285,8942.015456463534,8651.105823567452
config_mkspan_area_0.7_hw_0.3_seed_3,1513.5048647630779,3007.5978638768856,2993.887114571058,4612.874808016421,4830.5744236674545
config_mkspan_area_0.7_hw_0.3_seed_1,1581.3631356148514,2943.1208269912863,3467.1083940738413,3999.9258265211715,4923.001140389219
config_mkspan_area_0.9_hw_0.3_seed_1,1573.5008335602,1477.8107017475852,1864.3321085699527,3887.244225930294,2389.0826989475454
config_mkspan_area_0.3_hw_0.9_seed_1,4811.228793754074,6342.14862249819,7105.701902624114,8769.553212251987,8769.553212251987
config_mkspan_area_0.9_hw_0.1_seed_2,503.94363734427395,620.5482561486454,848.0510601376736,2696.838459383831,1567.3283695429202
config_mkspan_area_0.3_hw_0.3_seed_0,3245.4444069173787,6181.783281681213,6413.822757869356,9466.813815823476,9466.813815823476
config_mkspan_area_0.9_hw_0.5_seed_0,2749.3642881482638,2955.080276501321,3045.7718818039825,4980.909842483237,3383.817721315299
config_mkspan_area_0.7_hw_0.7_seed_0,3829.485954551118,4240.102146385769,4813.5002181352675,5341.585786999855,7775.0148022649255
config_mkspan_area_0.3_hw_0.9_seed_3,4703.102627498241,6280.020576413846,6082.439970766402,9214.558124102598,9214.558124102598
config_mkspan_area_0.1_hw_0.1_seed_0,4221.305106155454,7923.149128150284,7923.149128150284,9466.813815823476,9466.813815823476
config_mkspan_area_0.5_hw_0.1_seed_0,1491.2977569847144,3730.4827116996958,4268.519361482786,4904.87157861954,7419.147405996855
config_mkspan_area_0.7_hw_0.9_seed_1,4695.499973423976,5210.000842594816,5423.627924489926,5978.473010490969,8369.31565149153
