Config,diff_gnn_makespan,gl25_makespan,abs_diff
config_mkspan_area_0.1_hw_0.1_seed_0,9006.233983495113,9466.813815823476,460.5798323283634
config_mkspan_area_0.1_hw_0.1_seed_1,8290.147058565779,8769.553212251987,479.4061536862082
config_mkspan_area_0.1_hw_0.1_seed_2,7833.283107473885,8942.015456463534,1108.732348989649
config_mkspan_area_0.1_hw_0.1_seed_3,9176.932562614338,9214.558124102598,37.625561488259336
config_mkspan_area_0.1_hw_0.3_seed_0,9047.814617665212,9466.813815823476,418.99919815826433
config_mkspan_area_0.1_hw_0.3_seed_1,8290.147058565779,8769.553212251987,479.4061536862082
config_mkspan_area_0.1_hw_0.3_seed_2,8178.291365941627,8942.015456463534,763.7240905219069
config_mkspan_area_0.1_hw_0.3_seed_3,9176.932562614338,9214.558124102598,37.625561488259336
config_mkspan_area_0.1_hw_0.5_seed_0,9047.814617665212,9466.813815823476,418.99919815826433
config_mkspan_area_0.1_hw_0.5_seed_1,8275.84499839865,8769.553212251987,493.70821385333693
config_mkspan_area_0.1_hw_0.5_seed_2,7833.283107473885,8942.015456463534,1108.732348989649
config_mkspan_area_0.1_hw_0.5_seed_3,9176.932562614338,9214.558124102598,37.625561488259336
config_mkspan_area_0.1_hw_0.7_seed_0,9047.814617665212,9466.813815823476,418.99919815826433
config_mkspan_area_0.1_hw_0.7_seed_1,8189.676310285515,8769.553212251987,579.8769019664724
config_mkspan_area_0.1_hw_0.7_seed_2,7852.277355225627,8942.015456463534,1089.7381012379074
config_mkspan_area_0.1_hw_0.7_seed_3,9169.649965476961,9214.558124102598,44.90815862563613
config_mkspan_area_0.1_hw_0.9_seed_0,8945.955403756587,9466.813815823476,520.8584120668893
config_mkspan_area_0.1_hw_0.9_seed_1,8290.147058565779,8769.553212251987,479.4061536862082
config_mkspan_area_0.1_hw_0.9_seed_2,8178.291365941627,8942.015456463534,763.7240905219069
config_mkspan_area_0.1_hw_0.9_seed_3,9117.81907208507,9214.558124102598,96.73905201752677
config_mkspan_area_0.3_hw_0.1_seed_0,9047.814617665212,9466.813815823476,418.99919815826433
config_mkspan_area_0.3_hw_0.1_seed_2,7863.154890814371,8942.015456463534,1078.8605656491627
config_mkspan_area_0.3_hw_0.1_seed_3,8258.924551919099,9214.558124102598,955.6335721834985
config_mkspan_area_0.3_hw_0.3_seed_0,9047.814617665212,9466.813815823476,418.99919815826433
config_mkspan_area_0.3_hw_0.3_seed_2,7771.58244702012,8942.015456463534,1170.4330094434144
config_mkspan_area_0.3_hw_0.3_seed_3,8340.169323254575,9214.558124102598,874.3888008480226
config_mkspan_area_0.3_hw_0.5_seed_0,9047.814617665212,9466.813815823476,418.99919815826433
config_mkspan_area_0.3_hw_0.5_seed_2,7833.283107473885,8942.015456463534,1108.732348989649
config_mkspan_area_0.3_hw_0.5_seed_3,8371.171156151533,9214.558124102598,843.3869679510644
config_mkspan_area_0.3_hw_0.7_seed_0,9003.025528329003,9466.813815823476,463.7882874944735
config_mkspan_area_0.3_hw_0.7_seed_2,7760.704911431377,8942.015456463534,1181.3105450321573
config_mkspan_area_0.3_hw_0.7_seed_3,8742.286655335525,9214.558124102598,472.2714687670723
config_mkspan_area_0.3_hw_0.9_seed_0,8961.444894158905,9466.813815823476,505.36892166457073
config_mkspan_area_0.3_hw_0.9_seed_2,8178.291365941627,8942.015456463534,763.7240905219069
config_mkspan_area_0.3_hw_0.9_seed_3,8758.032046259174,9214.558124102598,456.526077843424
config_mkspan_area_0.5_hw_0.1_seed_1,4816.855472947482,4932.736395727151,115.88092277966916
config_mkspan_area_0.5_hw_0.3_seed_1,5055.2286314495295,5581.06840530122,525.8397738516906
config_mkspan_area_0.7_hw_0.3_seed_3,3143.768321146499,4612.874808016421,1469.1064868699223
config_mkspan_area_0.7_hw_0.5_seed_2,4291.391976893228,4650.0311262515825,358.6391493583542
config_mkspan_area_0.9_hw_0.1_seed_1,1286.53665781976,2878.570615417385,1592.033957597625
config_mkspan_area_0.9_hw_0.1_seed_2,1377.9646893059687,2696.838459383831,1318.8737700778622
config_mkspan_area_0.9_hw_0.1_seed_3,1158.2339789751063,3207.4316637973884,2049.197684822282
config_mkspan_area_0.9_hw_0.3_seed_1,2509.1694139261954,3887.244225930294,1378.0748120040985
config_mkspan_area_0.9_hw_0.3_seed_2,2957.621893450434,3879.4190679554467,921.7971745050127
config_mkspan_area_0.9_hw_0.3_seed_3,2901.6025206418153,3870.6636704058146,969.0611497639993
config_mkspan_area_0.9_hw_0.5_seed_1,3160.9498759499947,4874.695009130957,1713.7451331809625
config_mkspan_area_0.9_hw_0.5_seed_2,4126.692566501329,4279.156351128756,152.46378462742723
config_mkspan_area_0.9_hw_0.5_seed_3,3079.512477057725,5053.50817963388,1973.995702576155
config_mkspan_area_0.9_hw_0.7_seed_1,4267.880208988127,4830.746343191222,562.8661342030946
config_mkspan_area_0.9_hw_0.7_seed_3,3790.4397105091234,5409.550964335524,1619.111253826401
