baseline,ours_better_%,mean_rel_impr_%,median_rel_impr_%,mean_abs_diff,median_abs_diff,n
greedy,80.0,9.655123838860513,5.402516196262769,1001.6538721302163,468.0298781307729,100
esa,75.0,16.51723966429531,5.466711268898254,1375.2571190928038,479.4061536862082,100
clpso,74.0,16.379849852203602,5.466711268898254,1358.0903452390755,479.4061536862082,100
ccpso,73.0,15.415872954130954,5.402516196262769,1298.277248766933,479.4061536862082,100
jade,73.0,13.746318043632971,5.402516196262769,1074.4241388140006,479.4061536862082,100
random,72.0,16.042465476716178,5.466711268898254,1344.6875171057895,479.4061536862082,100
shade,72.0,13.655969998322433,5.466711268898254,1071.7874660164612,479.4061536862082,100
dbpso,71.0,9.932837150744783,5.466711268898254,722.0370437729072,479.4061536862082,100
pso,62.0,-2.744921990479718,4.425979070782195,125.79499282252965,361.8171108743081,100
gl25,50.0,-14.990589213432399,0.1895118703463864,-740.2527086280322,18.04524373303184,100
