config_index,Config,diff_gnn_makespan,diff_gnn_order_makespan,gcps_makespan,gl25_makespan
1,config_mkspan_area_0.1_hw_0.3_seed_1,7251.252783808956,7251.252783808956,8769.553212251987,8769.553212251987
2,config_mkspan_area_0.3_hw_0.1_seed_1,6051.814777539301,5871.094651929228,8635.708215357572,8769.553212251987
3,config_mkspan_area_0.3_hw_0.9_seed_2,6274.2456365052285,5333.949767512181,8651.105823567452,8942.015456463534
4,config_mkspan_area_0.7_hw_0.3_seed_3,2993.887114571058,3007.5978638768856,4830.5744236674545,4612.874808016421
5,config_mkspan_area_0.7_hw_0.3_seed_1,3467.1083940738413,2943.1208269912863,4923.001140389219,3999.9258265211715
6,config_mkspan_area_0.9_hw_0.3_seed_1,1864.3321085699527,1477.8107017475852,2389.0826989475454,3887.244225930294
7,config_mkspan_area_0.3_hw_0.9_seed_1,7105.701902624114,6342.14862249819,8769.553212251987,8769.553212251987
8,config_mkspan_area_0.9_hw_0.1_seed_2,848.0510601376736,620.5482561486454,1567.3283695429202,2696.838459383831
9,config_mkspan_area_0.3_hw_0.3_seed_0,6413.822757869356,6181.783281681213,9466.813815823476,9466.813815823476
10,config_mkspan_area_0.9_hw_0.5_seed_0,3045.7718818039825,2955.080276501321,3383.817721315299,4980.909842483237
11,config_mkspan_area_0.7_hw_0.7_seed_0,4813.5002181352675,4240.102146385769,7775.0148022649255,5341.585786999855
12,config_mkspan_area_0.3_hw_0.9_seed_3,6082.439970766402,6280.020576413846,9214.558124102598,9214.558124102598
13,config_mkspan_area_0.1_hw_0.1_seed_0,7923.149128150284,7923.149128150284,9466.813815823476,9466.813815823476
14,config_mkspan_area_0.5_hw_0.1_seed_0,4268.519361482786,3730.4827116996958,7419.147405996855,4904.87157861954
15,config_mkspan_area_0.7_hw_0.9_seed_1,5423.627924489926,5210.000842594816,8369.31565149153,5978.473010490969
